algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.1770,9563,8
QuickSort,random,1000,0.3518,18438,6
QuickSelect,random,1000,0.0279,4240,1
MergeSort,random,10000,1.3600,127227,11
QuickSort,random,10000,0.8457,243492,9
QuickSelect,random,10000,0.0995,49486,1
MergeSort,random,100000,10.4158,1640125,14
QuickSort,random,100000,11.8626,3239807,11
QuickSelect,random,100000,1.0331,455486,1
MergeSort,random,1000000,103.3232,19890345,18
QuickSort,random,1000000,132.6789,38019264,14
QuickSelect,random,1000000,11.7296,6666705,1
MergeSort,sorted,1000,0.0220,4236,8
QuickSort,sorted,1000,0.0630,16851,7
QuickSelect,sorted,1000,0.0092,4064,1
MergeSort,sorted,10000,0.2272,59248,11
QuickSort,sorted,10000,0.5747,230082,9
QuickSelect,sorted,10000,0.0407,51410,1
MergeSort,sorted,100000,2.4642,744016,14
QuickSort,sorted,100000,6.8441,3140641,11
QuickSelect,sorted,100000,0.3486,389111,1
MergeSort,sorted,1000000,38.3233,9071040,18
QuickSort,sorted,1000000,84.2257,37538411,13
QuickSelect,sorted,1000000,4.3014,4474916,1
MergeSort,duplicates,1000,0.0344,9231,8
QuickSort,duplicates,1000,0.0192,4801,2
QuickSelect,duplicates,1000,0.0114,2900,1
MergeSort,duplicates,10000,0.4113,121604,11
QuickSort,duplicates,10000,0.1673,53025,2
QuickSelect,duplicates,10000,0.0870,36345,1
MergeSort,duplicates,100000,5.0394,1561720,14
QuickSort,duplicates,100000,1.6255,520195,3
QuickSelect,duplicates,100000,0.9152,389581,1
MergeSort,duplicates,1000000,55.7581,18924434,18
QuickSort,duplicates,1000000,15.7449,5300358,2
QuickSelect,duplicates,1000000,8.0355,4100013,1
